n,ncomp,noper
300,149464,81385
600,587646,299565
900,1305456,631815
1200,2296586,1062365
1500,3592170,1669050
1800,5139322,2319655
2100,6962340,3074925
2400,9111996,4061790
2700,11533496,5143265
3000,14177868,6196920
3300,17148892,7482205
3600,20317048,8675320
3900,23870180,10245875
4200,27535672,11512330
4500,31632788,13272845
4800,36001328,15126920
5100,40709178,17244270
5400,45610152,19259430
5700,50757836,21306365
6000,56251670,23633675
6300,61764016,25422265
6600,67836930,28027275
6900,73938352,30118555
7200,80790654,33502035
7500,87413762,35727530
7800,94443300,38384100
8100,101796726,41265390
8400,109445226,44299365
8700,117343336,47372365
9000,125649094,50879485
9300,133991870,53894150
9600,143100662,58238855
9900,151993208,61457945
10200,161348820,65249700
10500,170763938,68605220
10800,180901320,73181400
11100,190865452,76739455
11400,201384886,81100765
11700,212083078,85323970
12000,223142506,89865265
12300,233920738,93118570
12600,244869376,96212890
12900,257455988,102817145
13200,269777648,108174020
13500,282500430,113948700
13800,294218106,116625615
14100,307776820,123320125
14400,320135836,126430390
14700,333181582,130672480
15000,347233006,136843765
15300,361177390,142162450
15600,375264722,147253505
15900,389411492,151908155
16200,405378930,160529475
16500,419025650,162764000
16800,434225612,168296630
17100,450063548,174839195
17400,466243840,181652650
17700,481786124,186286085
18000,498775396,193951990
18300,515525214,200434260
18600,532577828,207088520
18900,550019138,214129520
19200,567343966,220294315
19500,585247946,227321990
19800,603345606,234248865
20100,621914934,241769910
20400,640765200,249408300
20700,659180456,255374165
21000,678680114,263466035
21300,698520048,271823595
21600,717477772,277390630
21900,737885350,285997300
22200,758457198,294429645
22500,779072010,302384400
22800,800050250,310662725
23100,820964110,318195100
23400,843218442,328493655
23700,862820046,331575390
24000,885615926,342057815
24300,908307204,351693735
24600,929779260,357696600
24900,953591214,368964210
25200,978216656,381680540
25500,1001007090,389224350
25800,1024032242,396769955
26100,1046565218,402500120
26400,1070755264,411787960
26700,1095618560,422173925
27000,1119728354,430091135
27300,1143976802,437769980
27600,1168906630,446567275
27900,1194362334,456094260
28200,1221530184,469316610
28500,1246767558,477127770
28800,1273145014,487204135
29100,1297780976,492341765
29400,1326816394,507893035
29700,1353441564,516833685
30000,1381372390,528453475
