n,ncomp,noper
2500,94484,123668
5000,203934,267288
7500,318315,417288
10000,437836,574524
12500,559276,734524
15000,681524,894524
17500,806741,1058992
20000,935419,1228992
22500,1064467,1398992
25000,1193646,1568992
27500,1323288,1738992
30000,1453136,1908992
32500,1582936,2078992
35000,1718254,2257924
37500,1854458,2437924
40000,1990696,2617924
42500,2127367,2797924
45000,2263542,2977924
47500,2400133,3157924
50000,2537134,3337924
52500,2673909,3517924
55000,2811394,3697924
57500,2948331,3877924
60000,3085908,4057924
62500,3223701,4237924
65000,3361002,4417924
67500,3503389,4605784
70000,3646461,4795784
72500,3790174,4985784
75000,3933733,5175784
77500,4077674,5365784
80000,4221533,5555784
82500,4364846,5745784
85000,4509291,5935784
87500,4653201,6125784
90000,4797725,6315784
92500,4941418,6505784
95000,5085667,6695784
97500,5229625,6885784
100000,5374103,7075784
102500,5518869,7265784
105000,5663227,7455784
107500,5807997,7645784
110000,5952856,7835784
112500,6097390,8025784
115000,6242182,8215784
117500,6387353,8405784
120000,6531946,8595784
122500,6677402,8785784
125000,6822007,8975784
127500,6967117,9165784
130000,7111820,9355784
132500,7260133,9551500
135000,7410965,9751500
137500,7562514,9951500
140000,7713364,10151500
142500,7864518,10351500
145000,8015513,10551500
147500,8166528,10751500
150000,8317748,10951500
152500,8469045,11151500
155000,8619604,11351500
157500,8771524,11551500
160000,8922171,11751500
162500,9073873,11951500
165000,9224981,12151500
167500,9377088,12351500
170000,9528275,12551500
172500,9679671,12751500
175000,9831213,12951500
177500,9983054,13151500
180000,10134838,13351500
182500,10285789,13551500
185000,10437966,13751500
187500,10589090,13951500
190000,10740691,14151500
192500,10892558,14351500
195000,11043799,14551500
197500,11195997,14751500
200000,11347825,14951500
202500,11499899,15151500
205000,11652401,15351500
207500,11804850,15551500
210000,11956398,15751500
212500,12108639,15951500
215000,12260561,16151500
217500,12412937,16351500
220000,12565990,16551500
222500,12717869,16751500
225000,12869539,16951500
227500,13021638,17151500
230000,13173848,17351500
232500,13326708,17551500
235000,13478562,17751500
237500,13631580,17951500
240000,13783899,18151500
242500,13936963,18351500
245000,14088949,18551500
247500,14241529,18751500
250000,14393938,18951500
