n,ncomp,noper
300,5479,3261
600,13161,7928
900,20163,12140
1200,29084,18427
1500,38056,24444
1800,45680,29230
2100,53111,33178
2400,63188,40285
2700,69627,45023
3000,79998,52622
3300,90775,58707
3600,98716,63753
3900,115068,76751
4200,117357,75419
4500,134262,91643
4800,133550,86425
5100,149963,97675
5400,150382,99513
5700,165954,107852
6000,176080,113946
6300,185514,120752
6600,187963,121410
6900,206068,138669
7200,224067,151385
7500,214059,140138
7800,231515,155818
8100,238379,163396
8400,255361,166377
8700,263851,177540
9000,272055,177524
9300,280449,185702
9600,294708,196703
9900,305197,210300
10200,311974,202662
10500,330279,217940
10800,328961,221905
11100,346327,226509
11400,361801,237816
11700,370360,245835
12000,379412,253069
12300,389500,252762
12600,402435,265802
12900,407058,274010
13200,428577,292400
13500,424965,280697
13800,447738,301508
14100,455322,307574
14400,468280,313026
14700,483545,325045
15000,494617,332808
15300,517959,350714
15600,509149,337419
15900,502204,330735
16200,526958,352042
16500,546173,363163
16800,549151,367143
17100,573723,385061
17400,571287,380186
17700,604501,412980
18000,614046,411353
18300,588196,392670
18600,591172,398856
18900,632722,423942
19200,664110,452162
19500,644609,442165
19800,659855,440125
20100,671918,453856
20400,682568,456523
20700,705523,478755
21000,694722,468374
21300,706981,475416
21600,757102,514992
21900,774157,522705
22200,735445,491997
22500,765340,519987
22800,760319,514831
23100,789407,533932
23400,803529,542939
23700,796080,547184
24000,831836,565030
24300,868008,591062
24600,884280,601628
24900,871822,589065
25200,852981,584792
25500,902354,608038
25800,907189,614103
26100,869379,601964
26400,874168,591933
26700,922372,622953
27000,943962,637763
27300,945914,630223
27600,965451,664394
27900,1021799,710227
28200,971862,667391
28500,987245,665455
28800,967897,656079
29100,1017391,696897
29400,1092980,754369
29700,1014479,696958
30000,1084855,755673
